model,family,input_window,output_window,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,n_train_samples,epochs_run,best_epoch,hit_epoch_limit,seconds,seed,best_baseline,dm_statistic,dm_p_value,params_to_samples,exceeds_param_rule
lstm,recurrent,10,90,0.001262246827357364,0.0009332594328084222,0.0012762787578444955,0.6278573934634173,7927,13041,26.0,1.0,False,14.9,42.0,historical_mean,1.1559854867377515,0.24785860325109704,0.6078521585767963,True
gru,recurrent,10,90,0.001260246526438631,0.0009343759463887321,0.0012818694436263843,0.6241060103095566,6231,13041,27.0,2.0,False,17.6,42.0,historical_mean,1.8576509459719595,0.06340105814299575,0.4778007821486082,True
cnn,convolutional,10,90,0.0012432429412936592,0.0009449518559630092,0.001302856666155156,0.6036218389873964,3095,13041,28.0,3.0,False,12.1,42.0,historical_mean,3.5553401000212315,0.00038840319914654247,0.23732842573422283,True
cnn_deep,convolutional,10,90,0.0012552243225873675,0.00092980947971876,0.0012769332596802069,0.6234043127412086,9815,13041,28.0,3.0,False,15.9,42.0,historical_mean,1.1484631661015066,0.2509480121779963,0.7526263323364772,True
conv_gru,mixed,10,90,0.0012631981162573693,0.0009290623776404064,0.0012698154809405002,0.631959625401452,10487,13041,26.0,1.0,False,18.0,42.0,historical_mean,0.21189447919023377,0.832216178074586,0.8041561229967027,True
multibranch,mixed,10,90,0.0012658259720910025,0.0009266761283208012,0.0012695582771030563,0.6301514047445551,12311,13041,26.0,2.0,False,18.3,42.0,historical_mean,0.3380072654776295,0.7354017799533101,0.9440226976458861,True
buy_and_hold,baseline,30,1,0.01671687489201708,0.01307240703665231,0.017856013823655995,0.49623369961392044,0,13097,,,False,0.0,,historical_mean,27.879003767307044,5.510662094622164e-140,0.0,False
zero_return,baseline,30,1,0.011825635826195568,0.009039105366400972,0.012302429703848,0.0,0,13097,,,False,0.0,,historical_mean,2.4044940964217574,0.01630677410396935,0.0,False
window_mean,baseline,30,1,0.01211486724329533,0.009247645261263803,0.012555285582977322,0.5021193876724533,0,13097,,,False,0.0,,historical_mean,7.352078809097642,3.08660062532972e-13,0.0,False
historical_mean,baseline,30,1,0.011849138390156838,0.009023040918233229,0.012289868992601346,0.524150220038338,23,13097,,,False,0.0,,historical_mean,0.0,1.0,0.0017561273574100938,False
linear_regression,baseline,30,1,0.011672983844727773,0.009506749695322426,0.012985776841070728,0.5053052188234024,15893,13097,,,False,0.0,,historical_mean,15.124946959183164,1.9475406889591878e-48,1.213484003970375,True
mlp_small,dense,30,1,0.011495832452097182,0.009290362055059634,0.012693949298659175,0.5026323604848943,22871,13097,30.0,5.0,False,9.0,42.0,historical_mean,12.798918112026442,8.537204334861453e-36,1.7462777735359243,True
mlp_deep,dense,30,1,0.011813528949958964,0.009039433017128588,0.012305943199790828,0.5162396392991171,47063,13097,28.0,7.0,False,11.2,42.0,historical_mean,3.119568456942867,0.00184315971850375,3.5934183400778803,True
